phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,normalization,history_length,train_pair_count_total,train_pair_count_used,train_pair_rows_with_reverse,train_pair_sample_fraction,train_valid_context_count,train_user_count_with_pairs,train_feature_dim,solver,max_iter,tol
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,7061,3000,6000,0.424868998725393,81,30,699,lbfgs,200,0.001
V2-I,2,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2027,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,7061,3000,6000,0.424868998725393,81,30,699,lbfgs,200,0.001
V2-I,2,2027,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2027,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2028,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,7061,3000,6000,0.424868998725393,81,30,699,lbfgs,200,0.001
V2-I,2,2028,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2028,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2029,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,7061,3000,6000,0.424868998725393,81,30,699,lbfgs,200,0.001
V2-I,2,2029,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2029,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2030,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,7061,3000,6000,0.424868998725393,81,30,699,lbfgs,200,0.001
V2-I,2,2030,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2030,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,79,lbfgs,200,0.001
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,79,lbfgs,200,0.001
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,79,lbfgs,200,0.001
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,79,lbfgs,200,0.001
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,79,lbfgs,200,0.001
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,79,lbfgs,200,0.001
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,79,lbfgs,200,0.001
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,79,lbfgs,200,0.001
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,79,lbfgs,200,0.001
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,79,lbfgs,200,0.001
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,79,lbfgs,200,0.001
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,79,lbfgs,200,0.001
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,79,lbfgs,200,0.001
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,7061,2472,4944,0.35009205494972384,81,30,699,lbfgs,200,0.001
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,79,lbfgs,200,0.001
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,8727,3000,6000,0.3437607425232039,100,30,699,lbfgs,200,0.001
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,79,lbfgs,200,0.001
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,global_train_zscore,30,10280,3000,6000,0.2918287937743191,111,30,699,lbfgs,200,0.001
